date,symbol,reportedCurrency,cik,filingDate,acceptedDate,fiscalYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivities,netCashProvidedByInvestingActivities,netDebtIssuance,longTermNetDebtIssuance,shortTermNetDebtIssuance,netStockIssuance,netCommonStockIssuance,commonStockIssuance,commonStockRepurchased,netPreferredStockIssuance,netDividendsPaid,commonDividendsPaid,preferredDividendsPaid,otherFinancingActivities,netCashProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,incomeTaxesPaid,interestPaid
2025-10-31,BBCP,USD,0001703956,2026-01-13,2026-01-13 17:06:23,2025,FY,6373000,53543000,2518000,2048000,-7256000,3539000,-1204000,-1522000,-8069000,7089000,64315000,-46787000,0,0,0,9492000,-37295000,49979000,50000000,-21000,-14167000,-14167000,0,-14167000,0,-53132000,-53132000,0,-8437000,-25757000,90000,1353000,44394000,43041000,64315000,-46787000,17528000,0,0
2024-10-31,BBCP,USD,0001703956,2025-01-10,2025-01-10 08:30:35,2024,FY,16207000,57110000,5281000,2394000,2753000,7164000,600000,-1679000,-3332000,3155000,86900000,-43810000,0,0,0,11679000,-32131000,-18934000,0,-18934000,-10160000,-10160000,0,-10160000,0,0,0,0,326000,-28768000,1179000,27180000,43041000,15861000,86900000,-43810000,43090000,3420000,23925000
2023-10-31,BBCP,USD,0001703956,2024-01-16,2024-01-16 17:07:20,2023,FY,31790000,58666000,6137000,3847000,-1236000,328000,-1142000,-464000,42000,-2329000,96875000,-54505000,0,0,0,10347000,-44158000,-33178000,0,-33178000,-10505000,-10505000,0,-10505000,0,0,0,0,-613000,-44296000,-42000,8379000,15861000,7482000,96875000,-55305000,41570000,0,0
2022-10-31,BBCP,USD,0001703956,2023-01-31,2023-01-31 17:06:10,2022,FY,28676000,57462000,5205000,5034000,-14885000,-15310000,-870000,-3039000,4334000,-4797000,76695000,-101932000,-30762000,0,0,8573000,-124121000,50430000,-103000,50430000,-4148000,-4148000,0,-4148000,0,0,0,0,-304000,45978000,-368000,-1816000,7482000,9298000,76695000,-103382000,-26687000,0,0
2021-10-31,BBCP,USD,0001703956,2022-01-12,2022-01-12 17:06:18,2021,FY,-15073000,55906000,2547000,6591000,-697000,-4172000,-200000,3972000,-297000,26561000,75835000,-62792000,0,0,0,6227000,-56565000,-7160000,-6303000,-857000,-330000,-330000,0,-330000,0,0,0,0,-8464000,-15954000,-754000,2562000,9298000,6736000,75835000,-63542000,12293000,994000,17371000
2020-10-31,BBCP,USD,0001703956,2021-01-12,2021-01-12 17:05:53,2020,FY,-61251000,61656000,-1029000,11454000,7869000,1597000,624000,-796000,6444000,60271000,78970000,-39339000,0,0,0,3486000,-35853000,-42636000,-20979000,-21657000,-131000,-131000,0,-131000,0,0,0,0,-1161000,-43928000,74000,-737000,6736000,7473000,78970000,-39339000,39631000,3352000,33100000
2019-10-31,BBCP,USD,0001703956,2020-01-14,2020-01-14 17:01:54,2019,FY,-32487000,55379000,-6801000,3646000,-8652000,-5376000,-760000,-7957000,5441000,148105000,30693000,-36239000,-577474000,0,0,238474000,-375239000,402009000,402009000,0,-24929000,-24929000,192607000,-24929000,0,0,0,0,-30821000,346259000,-1907000,-1148000,7473000,8621000,30693000,-36239000,-5546000,0,0
2018-10-31,BBCP,USD,0001703956,2018-10-31,2018-10-30 20:00:00,2018,FY,28382000,25623000,-11106000,281000,-3095000,-7469000,-707000,-1832000,6913000,-466000,39619000,-31738000,0,0,0,-17761000,-49499000,13013000,15406000,-2393000,0,0,0,0,0,0,0,0,0,13013000,-1437000,1696000,8621000,6925000,39619000,-31738000,7881000,1073000,22168000
2017-12-31,BBCP,USD,0001703956,2018-03-29,2018-03-29 17:22:25,2017,FY,-317666,27154025,0,362345,450765,212586,-461824,0,-1608984,-595034,-461935,-23671035,-60427249,-234600000,0,1009523,-234600000,1144099,1144099,0,235890490,235890490,235890490,0,0,-4840065,-4840065,0,3695966,235890490,-225068,-2419965,828555,3248520,-461935,-23671035,-24132970,0,0
2016-10-31,BBCP,USD,0001703956,2016-10-31,2016-10-30 20:00:00,2016,FY,6269955,22309543,0,109424,1951790,-673660,-473187,0,3098637,5116728,35757440,-22570712,-6650000,0,0,247041,-28973671,-18420041,-18420041,0,0,0,0,0,0,0,0,0,3607239,-14812802,0,-8029033,3248520,11277553,35757440,-22570712,13186728,0,0
