date,symbol,reportedCurrency,fiscalYear,period,cashAndCashEquivalents,totalAssets,totalEquity,totalDebt,netDebt
2025-09-30,NFLX,USD,2025,Q,9287287000.0,54934835000.0,25954035000.0,14463020000.0,5175733000.0
2025-06-30,NFLX,USD,2025,Q,8177405000.0,53099664000.0,24951899000.0,14453206000.0,6275801000.0
2025-03-31,NFLX,USD,2025,Q,7199848000.0,52087644000.0,24028073000.0,15016918000.0,7817070000.0
2024-09-30,NFLX,USD,2024,Q,7457025000.0,52281844000.0,22720736000.0,15981328000.0,8524303000.0
2024-06-30,NFLX,USD,2024,Q,6624939000.0,49098895000.0,22112693000.0,13980065000.0,7355126000.0
2024-03-31,NFLX,USD,2024,Q,7024766000.0,48827721000.0,21365410000.0,14015974000.0,6991208000.0
2023-09-30,NFLX,USD,2023,Q,7353245000.0,49501786000.0,22107627000.0,14300368000.0,6947123000.0
2023-06-30,NFLX,USD,2023,Q,7662788000.0,50817473000.0,22832215000.0,14469538000.0,6806750000.0
2023-03-31,NFLX,USD,2023,Q,6714594000.0,49490345000.0,21828196000.0,14437128000.0,7722534000.0
2022-09-30,NFLX,USD,2022,Q,6113733000.0,47562187000.0,20528141000.0,13888117000.0,7774384000.0
2022-06-30,NFLX,USD,2022,Q,5819449000.0,46350935000.0,19075974000.0,14233303000.0,8413854000.0
2022-03-31,NFLX,USD,2022,Q,6008946000.0,45330904000.0,17544039000.0,14534561000.0,8525615000.0
