label,concept,2025-11-30,2025-05-31,2025-02-28,2024-11-30,2024-05-31,2024-02-29,2023-11-30,2023-05-31,2023-02-28,2022-11-30,2022-05-31,2022-02-28
Revenue,us-gaap_Revenues,64045000.0,67121000.0,59612000.0,69086000.0,73373000.0,61336000.0,68399000.0,71441000.0,61756000.0,69369000.0,66176000.0,56599000.0
Restructuring costs,us-gaap_RestructuringCharges,-3444000.0,-4739000.0,,-1984000.0,-701000.0,-1726000.0,,,,,,
Building Exit Costs,fc_BuildingExitCosts,-674000.0,,,,,,,,,,,
Depreciation and Amortization,us-gaap_Depreciation,-1099000.0,-1012000.0,-1016000.0,-950000.0,-990000.0,-913000.0,-1091000.0,-934000.0,-951000.0,-1246000.0,-1217000.0,-1190000.0
Amortization,us-gaap_AdjustmentForAmortization,-687000.0,-1098000.0,-1098000.0,-1098000.0,-1062000.0,-1071000.0,-1071000.0,-1086000.0,-1093000.0,-1092000.0,-1329000.0,-1346000.0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Foreign currency translation adjustments, net of income taxes of $0, and $0",us-gaap_OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,-206000.0,,,-202000.0,,,,,,,,
Comprehensive income (loss),us-gaap_ComprehensiveIncomeNetOfTax,-3495000.0,-1260000.0,-1118000.0,,,,,,,,,1846000.0
Comprehensive income,us-gaap_ComprehensiveIncomeNetOfTax,,,,979000.0,5546000.0,735000.0,4902000.0,4424000.0,1885000.0,4537000.0,6426000.0,
Cost of Goods and Services Sold,us-gaap_CostOfGoodsAndServicesSold,-15671000.0,-15799000.0,-13866000.0,-16375000.0,-17167000.0,-14485000.0,-16122000.0,-17208000.0,-14546000.0,-16627000.0,-15044000.0,-12485000.0
Gross Profit,us-gaap_GrossProfit,48374000.0,51322000.0,45746000.0,52711000.0,56206000.0,46851000.0,52277000.0,54233000.0,47210000.0,52742000.0,51132000.0,44114000.0
"Selling, General and Administrative Expense",us-gaap_SellingGeneralAndAdministrativeExpense,-46121000.0,-46676000.0,-45087000.0,-47204000.0,-45110000.0,-40771000.0,-44786000.0,-45641000.0,-42338000.0,-44012000.0,-42637000.0,-38061000.0
Operating Income,us-gaap_OperatingIncomeLoss,-3651000.0,-2203000.0,-1455000.0,1475000.0,8343000.0,1442000.0,5329000.0,6572000.0,2828000.0,6392000.0,5949000.0,3517000.0
Interest Expense,us-gaap_InterestExpense,-95000.0,-135000.0,-156000.0,-178000.0,-247000.0,-328000.0,-341000.0,-354000.0,-409000.0,-410000.0,-405000.0,-423000.0
Interest income,us-gaap_InvestmentIncomeInterest,114000.0,211000.0,263000.0,290000.0,268000.0,301000.0,288000.0,362000.0,362000.0,81000.0,21000.0,12000.0
Income Before Tax from Continuing Operations,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-3632000.0,-2127000.0,-1348000.0,1587000.0,8364000.0,1415000.0,5276000.0,6580000.0,2781000.0,6063000.0,5565000.0,3106000.0
Income Tax Expense,us-gaap_IncomeTaxExpenseBenefit,343000.0,718000.0,272000.0,-406000.0,-2643000.0,-541000.0,-425000.0,-2017000.0,-1042000.0,-1396000.0,1597000.0,-1228000.0
Net Income,us-gaap_NetIncomeLoss,-3289000.0,-1409000.0,-1076000.0,1181000.0,5721000.0,874000.0,4851000.0,4563000.0,1739000.0,4667000.0,7162000.0,1878000.0
,,,,,,,,,,,,,
"Foreign currency translation adjustments, net of income taxes of $0 and $0",us-gaap_OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,,,,,,51000.0,,,-130000.0,,
Basic and diluted,us-gaap_EarningsPerShareBasicAndDiluted,,,,,,,,,,,,0.13
Earnings Per Share (Basic),us-gaap_EarningsPerShareBasic,-0.27,-0.11,-0.08,0.09,0.43,0.07,0.37,0.33,0.13,0.34,0.51,
Earnings Per Share (Diluted),us-gaap_EarningsPerShareDiluted,-0.27,-0.11,-0.08,0.09,0.43,0.06,0.36,0.32,0.12,0.32,0.51,
Shares Outstanding (Basic),us-gaap_WeightedAverageNumberOfSharesOutstandingBasic,12210000.0,12891000.0,13102000.0,13092000.0,13160000.0,13263000.0,13244000.0,13621000.0,13900000.0,13877000.0,14173000.0,14312000.0
Shares Outstanding (Diluted),us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,12210000.0,12891000.0,13102000.0,13271000.0,13378000.0,13484000.0,13636000.0,14273000.0,14533000.0,14507000.0,14175000.0,14333000.0
Impairment of asset,us-gaap_AssetImpairmentCharges,,,,,,-928000.0,,,,,,
"Foreign currency translation adjustments, net of income taxes of $0, $0, $0, and $0",us-gaap_OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,149000.0,-42000.0,,-175000.0,-139000.0,,-139000.0,146000.0,,-736000.0,-32000.0
