label,concept,2025-09-30,2025-06-30,2025-03-31,2024-09-30,2024-06-30,2024-03-31,2023-09-30,2023-06-30
Contract Revenue,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,239455000.0,200489000.0,184733000.0,186038000.0,172814000.0,154615000.0,160268000.0,134216000.0
"Revenue from Contract with Customer, Product and Service [Extensible Enumeration]",us-gaap_RevenueFromContractWithCustomerProductAndServiceExtensibleList,http://fasb.org/us-gaap/2025#ProductMember,http://fasb.org/us-gaap/2025#ProductMember,http://fasb.org/us-gaap/2024#ProductMember,http://fasb.org/us-gaap/2024#ProductMember,http://fasb.org/us-gaap/2024#ProductMember,http://fasb.org/us-gaap/2023#ProductMember,http://fasb.org/us-gaap/2023#ProductMember,http://fasb.org/us-gaap/2023#ProductMember
Cost of Goods and Services Sold,us-gaap_CostOfGoodsAndServicesSold,-59650000.0,-38153000.0,-31994000.0,-42778000.0,-32144000.0,-27484000.0,-32296000.0,-25008000.0
"Cost, Product and Service [Extensible Enumeration]",us-gaap_TypeOfCostGoodOrServiceExtensibleList,http://fasb.org/us-gaap/2025#ProductMember,http://fasb.org/us-gaap/2025#ProductMember,http://fasb.org/us-gaap/2024#ProductMember,http://fasb.org/us-gaap/2024#ProductMember,http://fasb.org/us-gaap/2024#ProductMember,http://fasb.org/us-gaap/2023#ProductMember,http://fasb.org/us-gaap/2023#ProductMember,http://fasb.org/us-gaap/2023#ProductMember
Gross Profit,us-gaap_GrossProfit,179805000.0,162336000.0,152739000.0,143260000.0,140670000.0,127131000.0,127972000.0,109208000.0
Research and Development Expense,us-gaap_ResearchAndDevelopmentExpense,54962000.0,50159000.0,34540000.0,25387000.0,63583000.0,22189000.0,17499000.0,14969000.0
Selling Expense,us-gaap_SellingAndMarketingExpense,29549000.0,30073000.0,30711000.0,27576000.0,28507000.0,27233000.0,23418000.0,24528000.0
General and Administrative Expense,us-gaap_GeneralAndAdministrativeExpense,29807000.0,33924000.0,31243000.0,28587000.0,27224000.0,25676000.0,22546000.0,22809000.0
Operating Expenses,us-gaap_OperatingExpenses,-114318000.0,-114156000.0,-96494000.0,-81550000.0,-119314000.0,-75098000.0,-63463000.0,-62306000.0
Operating Income,us-gaap_OperatingIncomeLoss,65487000.0,48180000.0,56245000.0,61710000.0,21356000.0,52033000.0,64509000.0,46902000.0
"Other expense, net",us-gaap_OtherNonoperatingIncomeExpense,-106000.0,-193000.0,-276000.0,,,,,
"Other (expense) income, net",us-gaap_OtherNonoperatingIncomeExpense,,,,-124000.0,37000.0,-141000.0,-5000.0,-31000.0
Interest income,us-gaap_InvestmentIncomeNonoperating,5730000.0,5296000.0,5044000.0,4932000.0,4705000.0,4428000.0,,
Income Before Tax from Continuing Operations,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,67490000.0,49637000.0,57177000.0,62170000.0,21694000.0,51785000.0,51832000.0,44095000.0
Income Tax Expense,us-gaap_IncomeTaxExpenseBenefit,-16625000.0,-9861000.0,-11617000.0,-16077000.0,-10103000.0,-13451000.0,-13371000.0,-9795000.0
Net Income,us-gaap_NetIncomeLoss,50865000.0,39776000.0,45560000.0,46093000.0,11591000.0,38334000.0,38461000.0,34300000.0
Unrealized income on investments,us-gaap_OtherComprehensiveIncomeAvailableforsaleSecuritiesAdjustmentNetOfTaxPortionAttributableToParent,118000.0,,,,,,,
Unrealized income (loss) on investments,us-gaap_OtherComprehensiveIncomeAvailableforsaleSecuritiesAdjustmentNetOfTaxPortionAttributableToParent,,-6000.0,179000.0,,,,6000.0,
Unrealized (loss) income on investments,us-gaap_OtherComprehensiveIncomeAvailableforsaleSecuritiesAdjustmentNetOfTaxPortionAttributableToParent,,,,733000.0,-63000.0,-173000.0,,
Unrealized loss on investments,us-gaap_OtherComprehensiveIncomeAvailableforsaleSecuritiesAdjustmentNetOfTaxPortionAttributableToParent,,,,,,,,-491000.0
Comprehensive income,us-gaap_ComprehensiveIncomeNetOfTax,50983000.0,39770000.0,45739000.0,46826000.0,11528000.0,38161000.0,38467000.0,33809000.0
"Interest expense, net",us-gaap_InterestIncomeExpenseNonoperatingNet,,,,,,,-2906000.0,-2776000.0
Interest Expense,us-gaap_InterestExpense,,,,,,-4535000.0,,
Interest Expense (non-operating),us-gaap_InterestExpenseNonoperating,-3621000.0,-3646000.0,-3836000.0,-4348000.0,-4404000.0,,,
Earnings Per Share (Basic),us-gaap_EarningsPerShareBasic,0.88,0.69,0.79,0.81,0.2,0.68,0.64,0.57
Earnings Per Share (Diluted),us-gaap_EarningsPerShareDiluted,0.87,0.68,0.78,0.79,0.2,0.67,0.63,0.56
Shares Outstanding (Basic),us-gaap_WeightedAverageNumberOfSharesOutstandingBasic,57550902.0,57469775.0,57309938.0,56870234.0,56802357.0,56771251.0,59863102.0,59974123.0
Shares Outstanding (Diluted),us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,58717910.0,58427134.0,58524566.0,58103963.0,57541696.0,57597627.0,60681676.0,60743953.0
Loss on debt extinguishment,us-gaap_GainsLossesOnExtinguishmentOfDebt,,,,,,,9766000.0,
